Sample	Type	RR(ms)
107256	2	355	
107387	0	766	
107459	2	361	
107586	0	744	
107658	2	361	
107786	0	750	
107858	2	361	
107984	0	738	
108056	2	361	
108181	0	733	
108254	2	372	
108376	0	711	
108448	2	350	
108572	0	738	
108644	2	372	
108765	0	694	
108838	2	372	
108959	0	705	
109032	2	377	
109151	0	688	
109224	2	377	
109343	0	694	
109416	2	372	
109533	0	683	
109606	2	372	
109721	0	666	
109795	2	383	
109910	0	666	
109984	2	383	
110098	0	661	
110172	2	383	
110286	0	666	
110360	2	377	
110474	0	666	
110547	2	372	
110661	0	666	
110734	2	372	
110846	0	655	
110920	2	377	
111032	0	655	
111105	2	372	
111216	0	650	
111290	2	377	
111401	0	650	
111474	2	377	
111585	0	644	
111659	2	377	
111769	0	644	
111842	2	377	
111952	0	638	
112026	2	377	
112136	0	644	
112210	2	377	
112319	0	638	
112393	2	377	
112501	0	633	
112575	2	377	
112684	0	638	
112758	2	377	
112867	0	638	
112941	2	377	
113049	0	633	
113123	2	377	
113231	0	633	
113306	2	383	
113413	0	627	
113486	2	355	
113596	0	661	
113670	2	377	
113777	0	622	
113852	2	383	
113960	0	633	
114033	2	361	
114141	0	644	
114216	2	383	
114324	0	633	
114399	2	388	
114505	0	616	
114580	2	377	
114687	0	633	
114761	2	383	
114868	0	622	
114943	2	388	
115049	0	616	
115124	2	388	
115230	0	616	
115305	2	383	
115410	0	616	
115485	2	388	
115590	0	611	
115665	2	388	
115771	0	622	
115845	2	377	
115950	0	611	
116025	2	388	
116131	0	622	
116204	2	355	
116310	0	638	
116385	2	377	
116490	0	622	
116564	2	377	
116669	0	616	
116744	2	383	
116849	0	616	
116922	2	355	
117028	0	633	
117103	2	383	
117208	0	622	
117281	2	355	
117387	0	638	
117462	2	377	
117567	0	622	
117640	2	355	
117746	0	633	
117821	2	383	
117926	0	616	
117998	2	355	
118106	0	644	
118180	2	377	
118286	0	622	
118358	2	355	
118466	0	644	
118540	2	372	
118646	0	627	
118720	2	383	
118826	0	622	
118900	2	383	
119001	0	588	
119075	2	377	
119182	0	627	
119255	2	366	
119360	0	622	
119433	2	372	
119540	0	627	
119613	2	372	
119718	0	616	
119791	2	366	
119896	0	622	
119970	2	377	
120074	0	605	
120149	2	377	
120248	0	588	
120323	2	388	
120427	0	605	
120502	2	383	
120604	0	600	
120678	2	383	
120782	0	605	
120856	2	383	
120959	0	600	
121034	2	383	
121137	0	605	
121211	2	383	
121315	0	605	
121389	2	372	
121493	0	622	
121567	2	377	
121671	0	611	
121745	2	366	
121844	0	594	
121919	2	383	
122024	0	616	
122097	2	361	
122201	0	622	
122273	2	350	
122378	0	627	
122452	2	372	
122554	0	605	
122626	2	355	
122731	0	627	
122805	2	383	
122907	0	594	
122981	2	377	
123083	0	600	
123156	2	361	
123259	0	616	
123333	2	383	
123435	0	600	
123508	2	355	
123611	0	616	
123686	2	377	
123788	0	605	
123861	2	361	
123966	0	633	
124040	2	366	
124139	0	588	
124213	2	383	
124318	0	616	
124392	2	366	
124496	0	616	
124568	2	355	
124675	0	644	
124746	2	344	
124855	0	650	
124928	2	372	
125034	0	627	
125106	2	350	
125216	0	655	
125287	2	350	
125398	0	666	
125470	2	366	
125581	0	650	
125652	2	361	
125765	0	661	
125837	2	366	
125948	0	650	
126020	2	366	
126135	0	666	
126206	2	366	
126322	0	677	
126393	2	361	
126509	0	672	
126581	2	372	
126698	0	683	
126769	2	361	
126888	0	688	
126959	2	366	
127078	0	694	
127149	2	361	
127269	0	700	
127340	2	361	
127461	0	700	
127530	2	338	
127653	0	733	
127724	2	361	
127847	0	711	
127918	2	366	
128041	0	716	
128112	2	361	
128238	0	727	
128309	2	366	
128435	0	733	
128505	2	355	
128633	0	744	
128703	2	355	
128832	0	750	
128900	2	327	
129031	0	777	
129101	2	344	
129232	0	772	
129301	2	333	
129431	0	772	
129501	2	355	
129632	0	755	
129702	2	350	
129832	0	766	
129902	2	344	
130034	0	772	
130104	2	350	
130237	0	783	
130305	2	350	
130443	0	788	
130513	2	361	
130653	0	811	
130722	2	344	
130860	0	800	
130931	2	366	
131069	0	800	
131138	2	344	
131275	0	800	
131344	2	344	
131482	0	805	
131551	2	355	
131687	0	783	
131756	2	355	
131893	0	788	
131962	2	355	
132097	0	772	
132167	2	355	
132301	0	783	
132371	2	355	
132503	0	761	
132574	2	366	
132705	0	761	
132775	2	350	
132905	0	761	
132976	2	355	
133107	0	766	
133178	2	355	
133308	0	755	
133380	2	372	
133510	0	755	
133581	2	350	
133712	0	766	
133783	2	361	
133915	0	766	
133986	2	366	
134115	0	750	
134187	2	366	
134318	0	761	
134388	2	361	
134518	0	750	
134589	2	361	
134720	0	761	
134790	2	350	
134921	0	761	
134993	2	372	
135125	0	766	
135195	2	350	
135325	0	755	
135396	2	361	
135527	0	766	
135598	2	355	
135727	0	755	
135799	2	361	
135929	0	755	
136001	2	366	
136131	0	755	
136202	2	361	
136334	0	766	
136406	2	366	
136535	0	755	
136607	2	366	
136737	0	755	
136808	2	366	
136938	0	744	
137009	2	350	
137142	0	783	
137214	2	372	
137344	0	750	
137416	2	366	
137547	0	766	
137619	2	361	
137749	0	761	
137821	2	361	
137952	0	766	
138024	2	372	
138156	0	761	
138228	2	361	
138358	0	761	
138431	2	372	
138560	0	750	
138632	2	361	
138763	0	766	
138836	2	372	
138965	0	744	
139038	2	372	
139168	0	761	
139241	2	372	
139371	0	755	
139443	2	361	
139575	0	772	
139647	2	372	
139777	0	744	
139850	2	372	
139981	0	761	
140055	2	383	
140185	0	755	
140258	2	372	
140386	0	744	
140460	2	377	
140587	0	733	
140661	2	383	
140787	0	733	
140861	2	377	
140986	0	727	
141061	2	383	
141184	0	716	
141260	2	388	
141384	0	722	
141460	2	388	
141584	0	716	
141660	2	394	
141787	0	738	
141862	2	383	
141989	0	733	
142064	2	388	
142193	0	744	
142267	2	383	
142394	0	738	
142468	2	377	
142595	0	738	
142670	2	383	
142794	0	722	
142867	2	355	
142994	0	755	
143069	2	383	
143192	0	711	
143266	2	366	
143390	0	738	
143465	2	383	
143585	0	694	
143661	2	394	
143784	0	716	
143859	2	383	
143981	0	705	
144057	2	383	
144174	0	694	
144249	2	377	
144375	0	733	
144450	2	388	
144576	0	733	
144651	2	383	
144775	0	722	
144850	2	383	
144976	0	733	
145050	2	377	
145174	0	722	
145249	2	383	
145374	0	727	
145449	2	383	
145572	0	711	
145647	2	372	
145771	0	733	
145848	2	400	
145967	0	688	
146044	2	400	
146164	0	700	
146242	2	400	
146360	0	683	
146438	2	405	
146557	0	694	
146634	2	394	
146752	0	688	
146830	2	400	
146949	0	694	
147027	2	400	
147145	0	683	
147223	2	405	
147343	0	700	
147421	2	400	
147539	0	688	
147617	2	400	
147738	0	705	
147816	2	400	
147937	0	705	
148013	2	372	
148137	0	733	
148215	2	405	
148337	0	705	
148414	2	400	
148536	0	711	
148614	2	400	
148733	0	694	
148812	2	405	
148932	0	700	
149011	2	405	
149128	0	677	
149207	2	411	
149325	0	683	
149405	2	416	
149522	0	677	
149602	2	416	
149718	0	672	
149798	2	400	
149913	0	688	
149995	2	405	
150109	0	683	
150194	2	422	
150304	0	661	
150394	2	450	
150499	0	627	
150598	0	555	
150666	2	338	
150797	0	761	
150885	2	444	
150997	0	672	
151096	0	550	
151196	0	550	
151295	0	555	
151379	2	416	
151492	0	677	
151592	0	555	
151691	0	544	
151791	0	555	
151890	0	550	
151989	0	550	
152088	0	555	
152167	2	405	
152288	0	705	
152390	0	561	
152474	2	438	
152590	0	677	
152691	0	561	
152759	2	327	
152891	0	777	
152992	0	566	
153091	0	544	
153189	0	544	
153274	2	427	
153385	0	666	
153482	0	533	
153561	2	411	
153677	0	677	
153775	0	538	
153845	2	350	
153970	0	733	
154068	0	550	
154165	0	533	
154262	0	538	
154359	0	538	
154457	0	544	
154555	0	544	
154653	0	544	
154750	0	538	
154847	0	544	
154915	2	338	
155048	0	772	
155148	0	561	
155249	0	561	
155348	0	544	
155448	0	561	
155548	0	555	
155648	0	555	
155748	0	550	
155848	0	555	
155950	0	566	
156051	0	561	
156152	0	566	
156252	0	555	
156353	0	561	
156453	0	550	
156554	0	561	
156656	0	572	
156757	0	555	
156859	0	566	
156951	2	466	
